input,Conductivity [S/cm]
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|[O-][Cl+3]([O-])([O-])[O-]NAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$236$NAN_Tg|19.98$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$27,-6.698970004336019
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[B-](F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$297$NAN_Tg|19.98$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$27,-6.154901959985743
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|O=S(=O)([O-])C(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$300$NAN_Tg|19.98$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$27,-8.698970004336019
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$100,-2.415668775632469
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$95,-2.6090648928966207
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$89,-2.705533773838407
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$84,-2.882728704344236
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$79,-3.109578981199086
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$75,-3.4975728800155674
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$69,-3.400116927926312
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$64,-3.4975728800155674
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$59,-3.5783960731301687
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$54,-3.707743928643524
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$50,-3.85078088734462
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$44,-4.126679398184601
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$39,-4.804100347590766
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$34,-5.1598939055432425
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$29,-5.450996737974212
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|5.52$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$24,-5.72584215073632
